sortedNodeID,originalNodeID,NodeGrouping,Node ,AAc-6,regionName,regionLongName,regionIdLabel,LR,region,Lobe,cortex,regionID,Cortex_ID,x-cog,y-cog,z-cog,volmm,broad_region
1,107,2,L_TA2_ROI,Somatomotor,TA2_L,Area_TA2_L,107_L,L,TA2,Temp,Auditory_Association,107,11,141.08604,129.967515,63.526778,1139,Auditory
2,123,2,L_STGa_ROI,DMN,STGa_L,Area_STGa_L,123_L,L,STGa,Temp,Auditory_Association,123,11,139.957301,140.979968,50.18292,1897,Auditory
3,125,2,L_A5_ROI,Somatomotor,A5_L,Auditory_5_Complex_L,125_L,L,A5,Temp,Auditory_Association,125,11,152.259123,112.858549,68.432144,2439,Auditory
4,128,2,L_STSda_ROI,DMN,STSda_L,Area_STSd_anterior_L,128_L,L,STSda,Temp,Auditory_Association,128,11,143.831461,123.554073,57.391854,1424,Auditory
5,129,2,L_STSdp_ROI,DMN,STSdp_L,Area_STSd_posterior_L,129_L,L,STSdp,Temp,Auditory_Association,129,11,143.062832,94.156637,72.083186,1130,Auditory
6,130,2,L_STSvp_ROI,DMN,STSvp_L,Area_STSv_posterior_L,130_L,L,STSvp,Temp,Auditory_Association,130,11,146.913625,91.085158,67.189173,1644,Auditory
7,175,2,L_A4_ROI,Somatomotor,A4_L,Auditory_4_Complex_L,175_L,L,A4,Temp,Auditory_Association,175,11,155.165477,104.292219,78.188243,2943,Auditory
8,176,2,L_STSva_ROI,DMN,STSva_L,Area_STSv_anterior_L,176_L,L,STSva,Temp,Auditory_Association,176,11,142.689243,118.134462,52.832669,1004,Auditory
9,287,2,R_TA2_ROI,Somatomotor,TA2_R,Area_TA2_R,307_R,R,TA2,Temp,Auditory_Association,307,11,39.836312,130.301644,63.779843,1399,Auditory
10,303,2,R_STGa_ROI,DMN,STGa_R,Area_STGa_R,323_R,R,STGa,Temp,Auditory_Association,323,11,41.594035,142.606208,49.973828,1643,Auditory
11,305,2,R_A5_ROI,Somatomotor,A5_R,Auditory_5_Complex_R,325_R,R,A5,Temp,Auditory_Association,325,11,29.134363,113.095062,68.029224,2977,Auditory
12,308,2,R_STSda_ROI,DMN,STSda_R,Area_STSd_anterior_R,328_R,R,STSda,Temp,Auditory_Association,328,11,38.705061,125.180919,55.141361,1719,Auditory
13,309,2,R_STSdp_ROI,DMN,STSdp_R,Area_STSd_posterior_R,329_R,R,STSdp,Temp,Auditory_Association,329,11,41.526702,98.094126,69.690254,1498,Auditory
14,310,2,R_STSvp_ROI,DMN,STSvp_R,Area_STSv_posterior_R,330_R,R,STSvp,Temp,Auditory_Association,330,11,30.95466,98.034257,65.971788,1985,Auditory
15,355,2,R_A4_ROI,Somatomotor,A4_R,Auditory_4_Complex_R,375_R,R,A4,Temp,Auditory_Association,375,11,25.519804,111.76766,76.545529,2449,Auditory
16,356,2,R_STSva_ROI,DMN,STSva_R,Area_STSv_anterior_R,376_R,R,STSva,Temp,Auditory_Association,376,11,32.924419,117.527907,54.337791,1720,Auditory
17,24,5,L_A1_ROI,Somatomotor,A1_L,Primary_Auditory_Cortex_L,24_L,L,A1,Temp,Early_Auditory,24,10,135.998896,101.994481,82.398455,906,Auditory
18,103,5,L_52_ROI,Somatomotor,52_L,Area_52_L,103_L,L,52,Temp,Early_Auditory,103,10,130.277162,105.017738,70.645233,451,Auditory
19,104,5,L_RI_ROI,Somatomotor,RI_L,RetroInsular_Cortex_L,104_L,L,RI,Par,Early_Auditory,104,10,130.666225,90.109934,91.313907,755,Auditory
20,105,5,L_PFcm_ROI,VentralSalience,PFcm_L,Area_PFcm_L,105_L,L,PFcm,Par,Early_Auditory,105,10,141.793228,93.845101,92.239193,1388,Auditory
21,124,5,L_PBelt_ROI,Somatomotor,PBelt_L,ParaBelt_Complex_L,124_L,L,PBelt,Temp,Early_Auditory,124,10,144.62098,100.147014,79.898162,1306,Auditory
22,173,5,L_MBelt_ROI,Somatomotor,MBelt_L,Medial_Belt_Complex_L,173_L,L,MBelt,Temp,Early_Auditory,173,10,136.939267,110.757068,73.956021,955,Auditory
23,174,5,L_LBelt_ROI,Somatomotor,LBelt_L,Lateral_Belt_Complex_L,174_L,L,LBelt,Temp,Early_Auditory,174,10,136.829565,99.368696,79.617391,575,Auditory
24,204,5,R_A1_ROI,Somatomotor,A1_R,Primary_Auditory_Cortex_R,224_R,R,A1,Temp,Early_Auditory,224,10,46.328479,105.454693,81.894822,618,Auditory
25,283,5,R_52_ROI,Somatomotor,52_R,Area_52_R,303_R,R,52,Ins,Early_Auditory,303,10,52.031915,105.12766,73.634752,282,Auditory
26,284,5,R_RI_ROI,Somatomotor,RI_R,RetroInsular_Cortex_R,304_R,R,RI,Par,Early_Auditory,304,10,46.93904,94.059663,90.975357,771,Auditory
27,285,5,R_PFcm_ROI,VentralSalience,PFcm_R,Area_PFcm_R,305_R,R,PFcm,Par,Early_Auditory,305,10,42.446673,98.010939,94.233364,1097,Auditory
28,304,5,R_PBelt_ROI,Somatomotor,PBelt_R,ParaBelt_Complex_R,324_R,R,PBelt,Temp,Early_Auditory,324,10,33.096591,107.575487,79.568994,1232,Auditory
29,353,5,R_MBelt_ROI,Somatomotor,MBelt_R,Medial_Belt_Complex_R,373_R,R,MBelt,Temp,Early_Auditory,373,10,43.806818,111.762784,74.931818,704,Auditory
30,354,5,R_LBelt_ROI,Somatomotor,LBelt_R,Lateral_Belt_Complex_R,374_R,R,LBelt,Temp,Early_Auditory,374,10,41.808564,101.870277,81.278338,794,Auditory
31,106,9,L_PoI2_ROI,VentralSalience,PoI2_L,Posterior_Insular_Area_2_L,106_L,L,PoI2,Ins,Insular_and_Frontal_Opercular,106,12,131.140744,121.382156,71.041031,2096,Auditory
32,108,9,L_FOP4_ROI,VentralSalience,FOP4_L,Frontal_Opercular_Area_4_L,108_L,L,FOP4,Fr,Insular_and_Frontal_Opercular,108,12,133.429119,138.892173,76.685824,1827,Auditory
33,109,9,L_MI_ROI,VentralSalience,MI_L,Middle_Insular_Area_L,109_L,L,MI,Ins,Insular_and_Frontal_Opercular,109,12,127.923709,136.443075,73.143779,1704,Auditory
34,110,9,L_Pir_ROI,VentralSalience,Pir_L,Pirform_Cortex_L,110_L,L,Pir,Temp,Insular_and_Frontal_Opercular,110,12,122.938706,130.870602,53.682179,881,Auditory
35,111,9,L_AVI_ROI,CentralExecutive,AVI_L,Anterior_Ventral_Insular_Area_L,111_L,L,AVI,Fr,Insular_and_Frontal_Opercular,111,12,121.113485,150.508678,67.823765,749,Auditory
36,112,9,L_AAIC_ROI,CentralExecutive,AAIC_L,Anterior_Agranular_Insula_Complex_L,112_L,L,AAIC,Ins,Insular_and_Frontal_Opercular,112,12,126.225504,139.71902,60.595101,1388,Auditory
37,114,9,L_FOP3_ROI,VentralSalience,FOP3_L,Frontal_Opercular_Area_3_L,114_L,L,FOP3,Ins,Insular_and_Frontal_Opercular,114,12,126,128.96978,84.425824,364,Auditory
38,115,9,L_FOP2_ROI,Somatomotor,FOP2_L,Frontal_Opercular_Area_2_L,115_L,L,FOP2,Fr,Insular_and_Frontal_Opercular,115,12,133.704403,121.251572,85.752621,477,Auditory
39,167,9,L_PoI1_ROI,VentralSalience,PoI1_L,Area_Posterior_Insular_1_L,167_L,L,PoI1,Ins,Insular_and_Frontal_Opercular,167,12,129.839378,113.685665,68.664076,1158,Auditory
40,168,9,L_Ig_ROI,Somatomotor,Ig_L,Insular_Granular_Complex_L,168_L,L,Ig,Ins,Insular_and_Frontal_Opercular,168,12,126.25974,110.064935,86.446429,616,Auditory
41,169,9,L_FOP5_ROI,VentralSalience,FOP5_L,Area_Frontal_Opercular_5_L,169_L,L,FOP5,Fr,Insular_and_Frontal_Opercular,169,12,125.928129,152.826518,75.615861,807,Auditory
42,178,9,L_PI_ROI,VentralSalience,PI_L,Para-Insular_Area_L,178_L,L,PI,Temp,Insular_and_Frontal_Opercular,178,12,134.650549,124.293407,56.102198,910,Auditory
43,286,9,R_PoI2_ROI,VentralSalience,PoI2_R,Posterior_Insular_Area_2_R,306_R,R,PoI2,Ins,Insular_and_Frontal_Opercular,306,12,50.080778,122.827214,71.63067,2315,Auditory
44,288,9,R_FOP4_ROI,VentralSalience,FOP4_R,Frontal_Opercular_Area_4_R,308_R,R,FOP4,Fr,Insular_and_Frontal_Opercular,308,12,50.523336,141.361132,77.437643,1307,Auditory
45,289,9,R_MI_ROI,VentralSalience,MI_R,Middle_Insular_Area_R,309_R,R,MI,Ins,Insular_and_Frontal_Opercular,309,12,52.77037,135.922222,73.7,1350,Auditory
